Topics;Alpha;Beta;Coherence
32;symmetric;0.01;
32;symmetric;0.31;
32;symmetric;0.61;
32;symmetric;0.9099999999999999;
32;symmetric;symmetric;
32;asymmetric;0.01;
32;asymmetric;0.31;
32;asymmetric;0.61;
32;asymmetric;0.9099999999999999;
32;asymmetric;symmetric;
33;0.01;0.01;
33;0.01;0.31;
33;0.01;0.61;
33;0.01;0.9099999999999999;
33;0.01;symmetric;
33;0.31;0.01;
33;0.31;0.31;
33;0.31;0.61;
33;0.31;0.9099999999999999;
33;0.31;symmetric;
33;0.61;0.01;
33;0.61;0.31;
33;0.61;0.61;0.4587086990606801
33;0.61;0.9099999999999999;
33;0.61;symmetric;
33;0.9099999999999999;0.01;
33;0.9099999999999999;0.31;
33;0.9099999999999999;0.61;0.45720053470041533
33;0.9099999999999999;0.9099999999999999;
33;0.9099999999999999;symmetric;0.448816150474295
33;symmetric;0.01;
33;symmetric;0.31;
33;symmetric;0.61;
33;symmetric;0.9099999999999999;
33;symmetric;symmetric;
33;asymmetric;0.01;
33;asymmetric;0.31;
33;asymmetric;0.61;
33;asymmetric;0.9099999999999999;
33;asymmetric;symmetric;
34;0.01;0.01;
34;0.01;0.31;
34;0.01;0.61;
34;0.01;0.9099999999999999;
34;0.01;symmetric;
34;0.31;0.01;
34;0.31;0.31;
34;0.31;0.61;
34;0.31;0.9099999999999999;
34;0.31;symmetric;
34;0.61;0.01;
34;0.61;0.31;
34;0.61;0.61;
34;0.61;0.9099999999999999;
34;0.61;symmetric;
34;0.9099999999999999;0.01;
34;0.9099999999999999;0.31;
34;0.9099999999999999;0.61;
34;0.9099999999999999;0.9099999999999999;0.44757349516852074
34;0.9099999999999999;symmetric;
34;symmetric;0.01;
34;symmetric;0.31;
34;symmetric;0.61;
34;symmetric;0.9099999999999999;
34;symmetric;symmetric;
34;asymmetric;0.01;
34;asymmetric;0.31;
34;asymmetric;0.61;
34;asymmetric;0.9099999999999999;
34;asymmetric;symmetric;
35;0.01;0.01;
35;0.01;0.31;
35;0.01;0.61;
35;0.01;0.9099999999999999;
35;0.01;symmetric;
35;0.31;0.01;
35;0.31;0.31;
35;0.31;0.61;
