Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.9099999999999999,symmetric,0.45129033547047076
75% Corpus,7,symmetric,0.01,0.4417293584599797
75% Corpus,7,symmetric,0.31,0.4409775609126013
75% Corpus,7,symmetric,0.61,0.4522943105701378
75% Corpus,7,symmetric,0.9099999999999999,0.4483847440561192
75% Corpus,7,symmetric,symmetric,0.4349997205079315
75% Corpus,7,asymmetric,0.01,0.4633482387931522
75% Corpus,7,asymmetric,0.31,0.4923422064074025
75% Corpus,7,asymmetric,0.61,0.47057397566046527
75% Corpus,7,asymmetric,0.9099999999999999,0.44256593667137223
75% Corpus,7,asymmetric,symmetric,0.49257771497641023
75% Corpus,8,0.01,0.01,0.4649112949975584
75% Corpus,8,0.01,0.31,0.46737882377925977
75% Corpus,8,0.01,0.61,0.47102921916512547
75% Corpus,8,0.01,0.9099999999999999,0.40754343548386196
75% Corpus,8,0.01,symmetric,0.4401265714557677
75% Corpus,8,0.31,0.01,0.484229247488825
75% Corpus,8,0.31,0.31,0.45475120053410634
75% Corpus,8,0.31,0.61,0.4702712830484295
75% Corpus,8,0.31,0.9099999999999999,0.45399584010020316
75% Corpus,8,0.31,symmetric,0.47013297368250073
75% Corpus,8,0.61,0.01,0.5284819539931995
75% Corpus,8,0.61,0.31,0.49875410534864445
75% Corpus,8,0.61,0.61,0.544409093647441
75% Corpus,8,0.61,0.9099999999999999,0.5372925255026497
75% Corpus,8,0.61,symmetric,0.49057017138216463
75% Corpus,8,0.9099999999999999,0.01,0.5472081051152471
75% Corpus,8,0.9099999999999999,0.31,0.48010423866935403
75% Corpus,8,0.9099999999999999,0.61,0.5309945214398417
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.5409687947685279
75% Corpus,8,0.9099999999999999,symmetric,0.48949561547353454
75% Corpus,8,symmetric,0.01,0.4535299042812476
75% Corpus,8,symmetric,0.31,0.4676373385628806
75% Corpus,8,symmetric,0.61,0.4919452267106871
75% Corpus,8,symmetric,0.9099999999999999,0.46525642544173934
75% Corpus,8,symmetric,symmetric,0.4659357220584611
75% Corpus,8,asymmetric,0.01,0.5118788861403102
75% Corpus,8,asymmetric,0.31,0.5103479980180139
75% Corpus,8,asymmetric,0.61,0.48051530182144886
75% Corpus,8,asymmetric,0.9099999999999999,0.44709369393266585
75% Corpus,8,asymmetric,symmetric,0.5042374327535377
75% Corpus,9,0.01,0.01,0.42785001003646994
75% Corpus,9,0.01,0.31,0.44736079325148204
75% Corpus,9,0.01,0.61,0.43542549067046254
75% Corpus,9,0.01,0.9099999999999999,0.4356296029513557
75% Corpus,9,0.01,symmetric,0.41563168292904734
75% Corpus,9,0.31,0.01,0.4598097532115549
75% Corpus,9,0.31,0.31,0.4591713465573577
75% Corpus,9,0.31,0.61,0.45917462317766106
75% Corpus,9,0.31,0.9099999999999999,0.4551668734552372
75% Corpus,9,0.31,symmetric,0.4217159719782516
75% Corpus,9,0.61,0.01,0.4699238900433697
75% Corpus,9,0.61,0.31,0.45649993131210564
75% Corpus,9,0.61,0.61,0.4898791366888358
75% Corpus,9,0.61,0.9099999999999999,0.4818168686187742
75% Corpus,9,0.61,symmetric,0.46413753105191
75% Corpus,9,0.9099999999999999,0.01,0.5108816061340499
75% Corpus,9,0.9099999999999999,0.31,0.47717124125537985
75% Corpus,9,0.9099999999999999,0.61,0.5007664167039553
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4908077061102502
75% Corpus,9,0.9099999999999999,symmetric,0.4834754098397911
75% Corpus,9,symmetric,0.01,0.41153765495723593
75% Corpus,9,symmetric,0.31,0.45558837644460354
75% Corpus,9,symmetric,0.61,0.4294888818528819
75% Corpus,9,symmetric,0.9099999999999999,0.4394315109324521
75% Corpus,9,symmetric,symmetric,0.4112702374890102
75% Corpus,9,asymmetric,0.01,0.45757139014549103
75% Corpus,9,asymmetric,0.31,0.46646892129778295
75% Corpus,9,asymmetric,0.61,0.49095077368171025
75% Corpus,9,asymmetric,0.9099999999999999,0.4601839096123541
75% Corpus,9,asymmetric,symmetric,0.4730531075881114
75% Corpus,10,0.01,0.01,0.451211827092989
75% Corpus,10,0.01,0.31,0.47900315715162156
75% Corpus,10,0.01,0.61,0.468879678531556
75% Corpus,10,0.01,0.9099999999999999,0.48035733280431503
75% Corpus,10,0.01,symmetric,0.4717000450811951
75% Corpus,10,0.31,0.01,0.4725367762837475
75% Corpus,10,0.31,0.31,0.4634687742354582
75% Corpus,10,0.31,0.61,0.46427081076861854
75% Corpus,10,0.31,0.9099999999999999,0.45782532664854986
75% Corpus,10,0.31,symmetric,0.46463169404538085
75% Corpus,10,0.61,0.01,0.4764904820361088
75% Corpus,10,0.61,0.31,0.4632977154019726
75% Corpus,10,0.61,0.61,0.510823079636036
75% Corpus,10,0.61,0.9099999999999999,0.47570580717450967
75% Corpus,10,0.61,symmetric,0.47381511589013375
75% Corpus,10,0.9099999999999999,0.01,0.5069678926654054
75% Corpus,10,0.9099999999999999,0.31,0.48354026245963383
75% Corpus,10,0.9099999999999999,0.61,0.4953402262522849
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.516380735125842
75% Corpus,10,0.9099999999999999,symmetric,0.4879961747619343
75% Corpus,10,symmetric,0.01,0.45788603474071216
75% Corpus,10,symmetric,0.31,0.47647699678343897
75% Corpus,10,symmetric,0.61,0.4768944559782059
75% Corpus,10,symmetric,0.9099999999999999,0.4938185909520735
75% Corpus,10,symmetric,symmetric,0.46042330403078735
75% Corpus,10,asymmetric,0.01,0.4799773612672106
75% Corpus,10,asymmetric,0.31,0.5015243258830011
75% Corpus,10,asymmetric,0.61,0.47498535519955637
75% Corpus,10,asymmetric,0.9099999999999999,0.4013311415582309
75% Corpus,10,asymmetric,symmetric,0.49078309780110657
100% Corpus,2,0.01,0.01,0.3482121715000331
100% Corpus,2,0.01,0.31,0.35086579134472
100% Corpus,2,0.01,0.61,0.35981551251633886
100% Corpus,2,0.01,0.9099999999999999,0.34221058374817126
100% Corpus,2,0.01,symmetric,0.3587262229070204
100% Corpus,2,0.31,0.01,0.37290400480955377
100% Corpus,2,0.31,0.31,0.3621078892095304
100% Corpus,2,0.31,0.61,0.3309560526864139
100% Corpus,2,0.31,0.9099999999999999,0.3716307935096236
100% Corpus,2,0.31,symmetric,0.3491831972157131
100% Corpus,2,0.61,0.01,0.37507615658605337
100% Corpus,2,0.61,0.31,0.3499546274414873
100% Corpus,2,0.61,0.61,0.3556393208635482
100% Corpus,2,0.61,0.9099999999999999,0.3854756931965718
100% Corpus,2,0.61,symmetric,0.3499546274414873
100% Corpus,2,0.9099999999999999,0.01,0.34906453777050817
100% Corpus,2,0.9099999999999999,0.31,0.3498228790575435
100% Corpus,2,0.9099999999999999,0.61,0.3403737661425109
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.36198265671414376
100% Corpus,2,0.9099999999999999,symmetric,0.35263104069508233
100% Corpus,2,symmetric,0.01,0.3456160433314718
100% Corpus,2,symmetric,0.31,0.35872622290702044
100% Corpus,2,symmetric,0.61,0.36211628507850824
100% Corpus,2,symmetric,0.9099999999999999,0.39490589957200795
100% Corpus,2,symmetric,symmetric,0.34253195065699116
100% Corpus,2,asymmetric,0.01,0.30708909742885626
100% Corpus,2,asymmetric,0.31,0.3900124244510992
100% Corpus,2,asymmetric,0.61,0.3900124244510992
100% Corpus,2,asymmetric,0.9099999999999999,0.42893266760463145
100% Corpus,2,asymmetric,symmetric,0.3900124244510992
100% Corpus,3,0.01,0.01,0.3916422973343414
100% Corpus,3,0.01,0.31,0.3839473305400718
100% Corpus,3,0.01,0.61,0.37277546236918796
100% Corpus,3,0.01,0.9099999999999999,0.37104266292454907
100% Corpus,3,0.01,symmetric,0.3839473305400718
100% Corpus,3,0.31,0.01,0.39549259286475397
100% Corpus,3,0.31,0.31,0.3961988468508045
100% Corpus,3,0.31,0.61,0.36619242183208395
100% Corpus,3,0.31,0.9099999999999999,0.371188579217766
100% Corpus,3,0.31,symmetric,0.3947794160556983
100% Corpus,3,0.61,0.01,0.4178394872745492
100% Corpus,3,0.61,0.31,0.39893082666743734
100% Corpus,3,0.61,0.61,0.3937941183015094
100% Corpus,3,0.61,0.9099999999999999,0.38551380397562623
100% Corpus,3,0.61,symmetric,0.39442195604107244
100% Corpus,3,0.9099999999999999,0.01,0.4260020969084399
100% Corpus,3,0.9099999999999999,0.31,0.4032364200156369
100% Corpus,3,0.9099999999999999,0.61,0.391933174473089
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3914501901754319
100% Corpus,3,0.9099999999999999,symmetric,0.41452226218160054
100% Corpus,3,symmetric,0.01,0.3997776131470387
100% Corpus,3,symmetric,0.31,0.3947794160556983
100% Corpus,3,symmetric,0.61,0.38977225906832075
100% Corpus,3,symmetric,0.9099999999999999,0.3679577423520781
100% Corpus,3,symmetric,symmetric,0.38524600668785697
100% Corpus,3,asymmetric,0.01,0.412515859355398
100% Corpus,3,asymmetric,0.31,0.4010634162808974
100% Corpus,3,asymmetric,0.61,0.4370429825316892
100% Corpus,3,asymmetric,0.9099999999999999,0.4001677876832834
100% Corpus,3,asymmetric,symmetric,0.39429378502847695
100% Corpus,4,0.01,0.01,0.4382270214791553
100% Corpus,4,0.01,0.31,0.41424015504185585
100% Corpus,4,0.01,0.61,0.4400007891085262
100% Corpus,4,0.01,0.9099999999999999,0.4960426629520779
100% Corpus,4,0.01,symmetric,0.39630012896808386
100% Corpus,4,0.31,0.01,0.4415229588047722
100% Corpus,4,0.31,0.31,0.46030059664027806
100% Corpus,4,0.31,0.61,0.46734549007210163
100% Corpus,4,0.31,0.9099999999999999,0.48545804516715674
100% Corpus,4,0.31,symmetric,0.4537806769740745
100% Corpus,4,0.61,0.01,0.4503684185187213
100% Corpus,4,0.61,0.31,0.4643980676464533
100% Corpus,4,0.61,0.61,0.4769970508391948
100% Corpus,4,0.61,0.9099999999999999,0.4932968315625021
100% Corpus,4,0.61,symmetric,0.4532172655753447
100% Corpus,4,0.9099999999999999,0.01,0.46263140832009353
100% Corpus,4,0.9099999999999999,0.31,0.4759217894229577
100% Corpus,4,0.9099999999999999,0.61,0.4710945253420744
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.47837078909463226
100% Corpus,4,0.9099999999999999,symmetric,0.4697533572289298
100% Corpus,4,symmetric,0.01,0.43241880738434235
100% Corpus,4,symmetric,0.31,0.44538742417834176
100% Corpus,4,symmetric,0.61,0.45871957964844245
100% Corpus,4,symmetric,0.9099999999999999,0.4780863259022802
100% Corpus,4,symmetric,symmetric,0.44739093769293026
100% Corpus,4,asymmetric,0.01,0.4360552711983656
100% Corpus,4,asymmetric,0.31,0.4691408044271477
100% Corpus,4,asymmetric,0.61,0.4632530925531776
100% Corpus,4,asymmetric,0.9099999999999999,0.46662342633884907
